ID,Kind,Common Name,Scientific Name,Family,Care Level,Sensitivity,Min pH,Ideal pH,Max pH,Min Temp (C),Ideal Temp (C),Max Temp (C),Min Ammonia (ppm),Ideal Ammonia (ppm),Max Safe Ammonia (ppm),Min Nitrite (ppm),Ideal Nitrite (ppm),Max Safe Nitrite (ppm),Min Nitrate (ppm),Ideal Nitrate (ppm),Max Safe Nitrate (ppm),Min Dissolved O2 (mg/L),Ideal Dissolved O2 (mg/L),Max Dissolved O2 (mg/L),Notes,Source
1,Fish,Neon Tetra,Paracheirodon innesi,Characidae,Easy,Low,6.0,6.5,7.0,20.0,23.0,26.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Neon Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
2,Fish,Cardinal Tetra,Paracheirodon axelrodi,Characidae,Easy,High,4.6,5.8,7.0,23.0,25.0,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.5,8.3,12.0,Cardinal Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
3,Fish,Ember Tetra,Hyphessobrycon amandae,Characidae,Easy,Low,5.5,6.5,7.5,22.0,25.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.0,7.8,12.0,Ember Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
4,Fish,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,Characidae,Easy,Low,5.5,6.5,7.5,21.0,23.5,26.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.2,8.0,12.0,Black Neon Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
5,Fish,Rummy Nose Tetra,Hemigrammus bleheri,Characidae,Moderate,Medium,5.5,6.25,7.0,24.0,26.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Rummy Nose Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
6,Fish,Glowlight Tetra,Hemigrammus erythrozonus,Characidae,Easy,Low,5.8,6.65,7.5,22.0,25.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Glowlight Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
7,Fish,Congo Tetra,Phenacogrammus interruptus,Characidae,Moderate,Medium,6.0,6.75,7.5,23.0,25.5,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.4,8.2,12.0,Congo Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
8,Fish,Diamond Tetra,Moenkhausia pittieri,Characidae,Easy,Low,6.0,6.75,7.5,23.0,25.5,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Diamond Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
9,Fish,Bleeding Heart Tetra,Hyphessobrycon erythrostigma,Characidae,Moderate,Medium,6.0,6.75,7.5,22.0,24.5,27.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.3,8.1,12.0,Bleeding Heart Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
10,Fish,Serpae Tetra,Hyphessobrycon eques,Characidae,Easy,Low,5.5,6.65,7.8,22.0,25.0,28.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,8.0,20.0,6.2,8.0,12.0,Serpae Tetra stays healthy when ammonia and nitrite are 0 and nitrate stays under the max.,Fish catalog
