SampleID,Species ID,Kind,Common Name,Scientific Name,Sensitivity,pH,Temperature,Ammonia,Nitrite,Nitrate,DissolvedO2,Quality,Failed Parameters,Primary Issue,Recommended Action,Action Priority,Min pH,Max pH,Min Temp (C),Max Temp (C),Max Safe Ammonia (ppm),Max Safe Nitrite (ppm),Max Safe Nitrate (ppm),Min Dissolved O2 (mg/L)
1,1,Fish,Neon Tetra,Paracheirodon innesi,Low,6.73,22.7,0.003,0.003,3.7,11.5,excellent,,,Keep weekly testing and regular water changes.,low,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
2,1,Fish,Neon Tetra,Paracheirodon innesi,Low,6.72,24.4,0.001,0.002,5.1,11.4,excellent,,,Keep weekly testing and regular water changes.,low,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
3,1,Fish,Neon Tetra,Paracheirodon innesi,Low,6.62,24.5,0.002,0.001,6.1,8.5,excellent,,,Keep weekly testing and regular water changes.,low,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
4,1,Fish,Neon Tetra,Paracheirodon innesi,Low,6.78,23.6,0.003,0.001,8.2,11.2,excellent,,,Keep weekly testing and regular water changes.,low,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
5,1,Fish,Neon Tetra,Paracheirodon innesi,Low,6.77,21.3,0.012,0.001,13.9,7.8,good,,,Keep weekly testing and regular water changes.,low,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
6,1,Fish,Neon Tetra,Paracheirodon innesi,Low,6.73,25.7,0.01,0.005,15.8,7.0,good,,,Keep weekly testing and regular water changes.,low,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
7,1,Fish,Neon Tetra,Paracheirodon innesi,Low,6.14,22.9,0.009,0.009,15.6,8.0,good,,,Keep weekly testing and regular water changes.,low,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
8,1,Fish,Neon Tetra,Paracheirodon innesi,Low,5.8,22.1,0.003,0.003,5.2,9.3,watch,pH,pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,high,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
9,1,Fish,Neon Tetra,Paracheirodon innesi,Low,6.25,20.6,0.003,0.003,28.0,10.9,watch,Nitrate,Nitrate,"Do a 25–40% water change, vacuum the substrate, and add fast-growing plants.",medium,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
10,1,Fish,Neon Tetra,Paracheirodon innesi,Low,7.4,21.3,0.0,0.003,5.6,10.2,watch,pH,pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,high,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
11,1,Fish,Neon Tetra,Paracheirodon innesi,Low,6.55,23.3,0.001,0.0,27.5,9.0,watch,Nitrate,Nitrate,"Do a 25–40% water change, vacuum the substrate, and add fast-growing plants.",medium,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
12,1,Fish,Neon Tetra,Paracheirodon innesi,Low,6.8,21.7,0.816,1.479,4.7,10.5,critical,"Ammonia, Nitrite",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
13,1,Fish,Neon Tetra,Paracheirodon innesi,Low,6.42,24.5,0.12,0.0,3.7,2.7,critical,"Ammonia, DissolvedO2",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
14,1,Fish,Neon Tetra,Paracheirodon innesi,Low,6.22,23.0,0.686,0.965,5.5,9.6,critical,"Ammonia, Nitrite",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
15,1,Fish,Neon Tetra,Paracheirodon innesi,Low,5.27,34.4,0.004,0.004,6.8,9.2,critical,"pH, Temperature",pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,critical,6.0,7.0,20.0,26.0,0.02,0.02,20.0,6.5
16,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,4.9,26.1,0.002,0.001,4.8,10.2,excellent,,,Keep weekly testing and regular water changes.,low,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
17,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,5.08,26.0,0.003,0.003,5.4,10.4,excellent,,,Keep weekly testing and regular water changes.,low,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
18,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,5.99,25.4,0.0,0.002,3.4,9.9,excellent,,,Keep weekly testing and regular water changes.,low,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
19,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,5.42,24.0,0.0,0.002,4.1,11.4,excellent,,,Keep weekly testing and regular water changes.,low,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
20,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,5.99,24.4,0.013,0.0,18.8,7.5,good,,,Keep weekly testing and regular water changes.,low,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
21,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,6.47,23.5,0.012,0.007,18.6,7.6,good,,,Keep weekly testing and regular water changes.,low,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
22,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,5.74,24.1,0.01,0.007,15.6,6.7,good,,,Keep weekly testing and regular water changes.,low,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
23,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,7.41,26.1,0.001,0.002,3.8,10.5,watch,pH,pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,high,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
24,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,4.26,25.8,0.0,0.004,4.4,8.4,watch,pH,pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,high,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
25,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,5.51,21.8,0.003,0.001,8.2,9.3,watch,Temperature,Temperature,Adjust the heater 1°C at a time. Increase surface movement if the tank is hot.,high,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
26,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,6.78,20.9,0.0,0.002,8.4,11.2,watch,Temperature,Temperature,Adjust the heater 1°C at a time. Increase surface movement if the tank is hot.,high,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
27,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,4.3,37.7,0.002,0.001,7.2,10.5,critical,"pH, Temperature",pH,Correct pH slowly with small water changes only. Move no more than 0.2 pH per day.,critical,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
28,2,Fish,Cardinal Tetra,Paracheirodon axelrodi,High,4.95,25.9,0.317,0.878,6.3,11.2,critical,"Ammonia, Nitrite",Ammonia,Do a 40–50% water change with dechlorinated water. Pause feeding 24 hours and add beneficial bacteria.,critical,4.6,7.0,23.0,27.0,0.02,0.02,20.0,6.5
