iter	Accuracy	MultiClass
0	0.7201646091	1.283399214
1	0.7417695473	1.206910529
2	0.7608024691	1.135884548
3	0.771090535	1.072244844
4	0.7633744856	1.009996927
5	0.7772633745	0.9617326256
6	0.7680041152	0.9153018009
7	0.7556584362	0.8790346967
8	0.774691358	0.8442312193
9	0.7844650206	0.8095974547
10	0.7798353909	0.7769629425
11	0.7824074074	0.7494847458
12	0.7926954733	0.7225107993
13	0.7988683128	0.7007479611
14	0.7983539095	0.6859525214
15	0.816872428	0.6654186294
16	0.8297325103	0.6453139248
17	0.8302469136	0.6271830196
18	0.8312757202	0.6119029263
19	0.8317901235	0.5995267262
20	0.8338477366	0.5866601763
21	0.8425925926	0.5722369088
22	0.8487654321	0.5567038166
23	0.8559670782	0.5460563326
24	0.8611111111	0.5362073917
25	0.8631687243	0.5257435316
26	0.8641975309	0.5137002188
27	0.8616255144	0.5035803562
28	0.8652263374	0.4944276388
29	0.866255144	0.4855942901
30	0.8647119342	0.4776789863
31	0.8744855967	0.4693889585
32	0.875	0.4612882398
33	0.8775720165	0.4586539856
34	0.8878600823	0.4512063994
35	0.8883744856	0.4448340205
36	0.8950617284	0.4387123383
37	0.8976337449	0.4326123545
38	0.8981481481	0.4257930689
39	0.8976337449	0.4184057131
40	0.9017489712	0.4138198371
41	0.9053497942	0.4069753899
42	0.9068930041	0.4015888498
43	0.9094650206	0.3971888
44	0.912037037	0.3911939285
45	0.9151234568	0.3878809244
46	0.9156378601	0.3846336173
47	0.9202674897	0.3798179661
48	0.9228395062	0.3766818071
49	0.9259259259	0.3731370819
50	0.9254115226	0.3686646249
51	0.924382716	0.3651428827
52	0.924382716	0.3624570938
53	0.9259259259	0.3572677117
54	0.9238683128	0.3517355413
55	0.9284979424	0.3461530997
56	0.9284979424	0.3431386406
57	0.929526749	0.3405723985
58	0.9315843621	0.3369794311
59	0.9310699588	0.3337674776
60	0.9326131687	0.3301461189
61	0.9346707819	0.326640415
62	0.9362139918	0.323508786
63	0.9393004115	0.3208102778
64	0.9387860082	0.3187184989
65	0.9393004115	0.3169606269
66	0.9382716049	0.3142898895
67	0.9387860082	0.3126065467
68	0.9382716049	0.3089120576
69	0.9393004115	0.3058357623
70	0.9413580247	0.3035074462
71	0.9413580247	0.3009354634
72	0.9429012346	0.2991711564
73	0.9423868313	0.2970198762
74	0.9423868313	0.2954468545
75	0.9444444444	0.2929183253
76	0.945473251	0.2901037695
77	0.9465020576	0.2880783146
78	0.9480452675	0.2869614346
79	0.9485596708	0.2841043669
80	0.9485596708	0.2822430699
81	0.9480452675	0.2804516198
82	0.9485596708	0.2788117631
83	0.950617284	0.276070147
84	0.9526748971	0.273143601
85	0.9531893004	0.2711776812
86	0.9526748971	0.2699830653
87	0.9531893004	0.2685707043
88	0.9537037037	0.2662274362
89	0.954218107	0.2638709386
90	0.9547325103	0.2624472306
91	0.9547325103	0.2613313956
92	0.9547325103	0.2600883125
93	0.9552469136	0.258528336
