iter	Passed	Remaining
0	138	55218
1	148	29453
2	156	20662
3	164	16244
4	171	13584
5	178	11753
6	187	10532
7	193	9504
8	202	8785
9	209	8158
10	217	7691
11	224	7262
12	233	6936
13	239	6602
14	247	6343
15	254	6100
16	261	5882
17	270	5732
18	276	5553
19	285	5425
20	292	5284
21	300	5166
22	307	5037
23	315	4937
24	320	4814
25	328	4725
26	335	4631
27	342	4544
28	349	4472
29	355	4390
30	365	4349
31	372	4278
32	380	4234
33	387	4175
34	395	4129
35	402	4066
36	411	4032
37	419	3994
38	428	3962
39	434	3910
40	442	3873
41	449	3835
42	458	3808
43	465	3763
44	472	3729
45	480	3697
46	487	3664
47	494	3626
48	503	3608
49	513	3595
50	520	3559
51	528	3534
52	535	3505
53	542	3473
54	549	3449
55	557	3426
56	567	3414
57	575	3395
58	583	3371
59	591	3353
60	598	3324
61	606	3304
62	613	3281
63	619	3254
64	628	3238
65	634	3211
66	642	3193
67	648	3168
68	657	3156
69	663	3129
70	671	3112
71	677	3088
72	685	3069
73	691	3047
74	698	3025
75	705	3006
76	711	2983
77	718	2966
78	725	2946
79	731	2925
80	739	2914
81	746	2894
82	754	2879
83	760	2860
84	768	2848
85	775	2832
86	783	2819
87	790	2801
88	796	2783
89	804	2769
90	810	2751
91	818	2739
92	824	2721
93	831	2705
94	837	2689
95	844	2674
96	852	2662
97	859	2649
98	867	2638
99	874	2623
100	882	2613
101	889	2598
102	896	2584
103	902	2569
104	909	2555
105	916	2543
106	923	2528
107	931	2518
108	938	2504
109	945	2492
110	951	2478
111	957	2463
112	966	2453
113	972	2440
114	980	2430
115	987	2416
116	994	2405
117	1000	2391
118	1006	2377
119	1014	2368
120	1021	2355
121	1029	2346
122	1036	2333
123	1044	2324
124	1051	2312
125	1058	2300
126	1064	2288
127	1070	2275
128	1078	2265
129	1084	2252
130	1091	2241
131	1098	2229
132	1104	2217
133	1111	2206
134	1117	2194
135	1126	2185
136	1132	2173
137	1140	2165
138	1147	2154
139	1154	2143
140	1161	2132
141	1167	2121
142	1175	2112
143	1182	2101
144	1190	2092
145	1196	2081
146	1204	2072
147	1210	2061
148	1217	2051
149	1225	2041
150	1231	2030
151	1239	2022
152	1246	2011
153	1253	2002
154	1260	1991
155	1267	1983
156	1274	1973
157	1282	1964
158	1290	1956
159	1299	1948
160	1306	1939
161	1312	1928
162	1320	1919
163	1326	1908
164	1333	1899
165	1341	1890
166	1347	1879
167	1353	1869
168	1359	1858
169	1367	1850
170	1374	1840
171	1381	1830
172	1387	1820
173	1393	1810
174	1401	1801
175	1407	1790
176	1414	1782
177	1420	1771
178	1426	1761
179	1434	1752
180	1440	1743
181	1448	1735
182	1454	1725
183	1463	1717
184	1470	1708
185	1476	1698
186	1483	1689
187	1490	1680
188	1497	1671
189	1504	1663
190	1511	1654
191	1518	1644
192	1524	1634
193	1531	1626
194	1538	1616
195	1546	1609
196	1552	1599
197	1559	1591
198	1566	1581
199	1572	1572
200	1579	1563
201	1585	1554
202	1593	1546
203	1599	1536
204	1606	1527
205	1612	1518
206	1618	1509
207	1626	1500
208	1632	1491
209	1639	1483
210	1645	1473
211	1651	1464
212	1658	1456
213	1664	1447
214	1672	1438
215	1678	1429
216	1684	1420
217	1693	1413
218	1700	1405
219	1707	1397
220	1713	1388
221	1721	1380
222	1727	1371
223	1734	1362
224	1740	1354
225	1747	1345
226	1752	1335
227	1760	1327
228	1766	1319
229	1773	1310
230	1779	1302
231	1786	1293
232	1794	1286
233	1799	1276
234	1807	1269
235	1814	1260
236	1821	1252
237	1827	1244
238	1833	1235
239	1840	1227
240	1847	1218
241	1852	1209
242	1859	1201
243	1866	1193
244	1873	1185
245	1879	1176
246	1885	1168
247	1892	1159
248	1898	1151
249	1905	1143
250	1912	1135
251	1918	1126
252	1925	1118
253	1931	1110
254	1938	1102
255	1944	1094
256	1951	1085
257	1957	1077
258	1963	1069
259	1971	1061
260	1977	1053
261	1984	1045
262	1990	1036
263	1996	1028
264	2003	1020
265	2010	1012
266	2016	1004
267	2023	996
268	2029	988
269	2036	980
270	2042	972
271	2049	964
272	2055	956
273	2061	947
274	2068	940
275	2074	932
276	2082	924
277	2088	916
278	2095	908
279	2102	901
280	2109	893
281	2117	886
282	2123	878
283	2132	871
284	2138	863
285	2145	855
286	2152	847
287	2159	839
288	2167	832
289	2175	825
290	2183	817
291	2190	810
292	2197	802
293	2204	794
294	2210	786
295	2217	779
296	2223	771
297	2232	764
298	2238	756
299	2245	748
300	2251	740
301	2258	732
302	2264	725
303	2271	717
304	2278	709
305	2285	702
306	2293	694
307	2299	686
308	2306	679
309	2313	671
310	2319	663
311	2326	656
312	2332	648
313	2338	640
314	2345	632
315	2351	624
316	2358	617
317	2364	609
318	2369	601
319	2377	594
320	2383	586
321	2390	578
322	2396	571
323	2402	563
324	2409	556
325	2415	548
326	2423	540
327	2428	533
328	2435	525
329	2444	518
330	2447	510
331	2454	502
332	2463	495
333	2472	488
334	2480	481
335	2488	474
336	2495	466
337	2503	459
338	2509	451
339	2515	443
340	2521	436
341	2528	428
342	2535	421
343	2541	413
344	2547	406
345	2555	398
346	2562	391
347	2569	383
348	2576	376
349	2584	369
350	2590	361
351	2597	354
352	2603	346
353	2609	339
354	2616	331
355	2622	324
356	2630	316
357	2637	309
358	2643	301
359	2650	294
360	2656	286
361	2662	279
362	2668	272
363	2674	264
364	2681	257
365	2688	249
366	2694	242
367	2700	234
368	2706	227
369	2713	220
370	2720	212
371	2727	205
372	2734	197
373	2740	190
374	2747	183
375	2753	175
376	2760	168
377	2766	161
378	2773	153
379	2780	146
380	2787	138
381	2793	131
382	2800	124
383	2806	116
384	2813	109
385	2819	102
386	2826	94
387	2832	87
388	2839	80
389	2846	72
390	2852	65
391	2859	58
392	2865	51
393	2871	43
394	2878	36
395	2885	29
396	2893	21
397	2900	14
398	2907	7
399	2913	0
